Min frequency : 0.05
Max frequency : 0.4
Nb of frequencies : 500

S0 ; A0 ; SH0
5.5495E0 ; 3.0852E0 ; 3.2557E0
5.549E0 ; 3.087E0 ; 3.2557E0
5.5484E0 ; 3.0887E0 ; 3.2557E0
5.5478E0 ; 3.0904E0 ; 3.2557E0
5.5472E0 ; 3.0921E0 ; 3.2557E0
5.5466E0 ; 3.0938E0 ; 3.2557E0
5.546E0 ; 3.0955E0 ; 3.2557E0
5.5454E0 ; 3.0972E0 ; 3.2557E0
5.5448E0 ; 3.0988E0 ; 3.2557E0
5.5442E0 ; 3.1005E0 ; 3.2557E0
5.5436E0 ; 3.1021E0 ; 3.2557E0
5.5429E0 ; 3.1037E0 ; 3.2557E0
5.5423E0 ; 3.1053E0 ; 3.2557E0
5.5417E0 ; 3.1069E0 ; 3.2557E0
5.5411E0 ; 3.1085E0 ; 3.2557E0
5.5405E0 ; 3.1101E0 ; 3.2557E0
5.5398E0 ; 3.1116E0 ; 3.2557E0
5.5392E0 ; 3.1132E0 ; 3.2557E0
5.5386E0 ; 3.1147E0 ; 3.2557E0
5.5379E0 ; 3.1163E0 ; 3.2557E0
5.5373E0 ; 3.1178E0 ; 3.2557E0
5.5366E0 ; 3.1193E0 ; 3.2557E0
5.536E0 ; 3.1208E0 ; 3.2557E0
5.5353E0 ; 3.1222E0 ; 3.2557E0
5.5347E0 ; 3.1237E0 ; 3.2557E0
5.534E0 ; 3.1252E0 ; 3.2557E0
5.5334E0 ; 3.1266E0 ; 3.2557E0
5.5327E0 ; 3.128E0 ; 3.2557E0
5.5321E0 ; 3.1295E0 ; 3.2557E0
5.5314E0 ; 3.1309E0 ; 3.2557E0
5.5307E0 ; 3.1323E0 ; 3.2557E0
5.5301E0 ; 3.1337E0 ; 3.2557E0
5.5294E0 ; 3.1351E0 ; 3.2557E0
5.5287E0 ; 3.1364E0 ; 3.2557E0
5.528E0 ; 3.1378E0 ; 3.2557E0
5.5273E0 ; 3.1392E0 ; 3.2557E0
5.5267E0 ; 3.1405E0 ; 3.2557E0
5.526E0 ; 3.1418E0 ; 3.2557E0
5.5253E0 ; 3.1432E0 ; 3.2557E0
5.5246E0 ; 3.1445E0 ; 3.2557E0
5.5239E0 ; 3.1458E0 ; 3.2557E0
5.5232E0 ; 3.1471E0 ; 3.2557E0
5.5225E0 ; 3.1484E0 ; 3.2557E0
5.5218E0 ; 3.1496E0 ; 3.2557E0
5.5211E0 ; 3.1509E0 ; 3.2557E0
5.5204E0 ; 3.1521E0 ; 3.2557E0
5.5196E0 ; 3.1534E0 ; 3.2557E0
5.5189E0 ; 3.1546E0 ; 3.2557E0
5.5182E0 ; 3.1559E0 ; 3.2557E0
5.5175E0 ; 3.1571E0 ; 3.2557E0
5.5168E0 ; 3.1583E0 ; 3.2557E0
5.516E0 ; 3.1595E0 ; 3.2557E0
5.5153E0 ; 3.1607E0 ; 3.2557E0
5.5146E0 ; 3.1619E0 ; 3.2557E0
5.5138E0 ; 3.163E0 ; 3.2557E0
5.5131E0 ; 3.1642E0 ; 3.2557E0
5.5123E0 ; 3.1654E0 ; 3.2557E0
5.5116E0 ; 3.1665E0 ; 3.2557E0
5.5108E0 ; 3.1676E0 ; 3.2557E0
5.5101E0 ; 3.1688E0 ; 3.2557E0
5.5093E0 ; 3.1699E0 ; 3.2557E0
5.5086E0 ; 3.171E0 ; 3.2557E0
5.5078E0 ; 3.1721E0 ; 3.2557E0
5.507E0 ; 3.1732E0 ; 3.2557E0
5.5062E0 ; 3.1743E0 ; 3.2557E0
5.5055E0 ; 3.1754E0 ; 3.2557E0
5.5047E0 ; 3.1764E0 ; 3.2557E0
5.5039E0 ; 3.1775E0 ; 3.2557E0
